用户名,评论时间,IP属地,点赞数量,评论内容
卷柏,2023.12.18,未知,1,@嘴强王者的信徒
小红薯65900AB9,2023.12.18,未知,1,内容真好，怎么联系
路人甲～,2023.12.18,未知,0,还想要一个家啊！
陈年风褛,2023.12.18,未知,0,极简主义看了就头疼，勤快一点都解决了
五色豆,2023.12.17,未知,0,我还是用竹筷吧
追逐繁星,2023.12.17,未知,0,别人家的孩子的乐趣
Sean.Tang,2023.12.17,未知,1,在哪里下单
LAIPYDTR,2023.12.17,未知,0,来个课代表
ConnieZ?,2023.12.17,未知,1,全是白色垃圾
琰小予,2023.12.17,未知,0,好方便
momo（发财版）,2023.12.17,未知,0,@北美足迹?
蔡member,2023.12.17,未知,1,这是懒到不行了，还是图实用啊，过年也不怕亲戚说你懒[偷笑R]
祝你好运多多??,2023.12.16,未知,0,那个围裙好像还不错
泡泡,2023.12.16,未知,1,可以，很多很方便的东西
晶晶爱瑜伽,2023.12.15,未知,1,洗脸巾挺好
只如初见,2023.12.15,未知,0,看第三个你是真没下过厨房，包过饺子，不知道怎么挼馅子
小红薯657AD396,2023.12.15,未知,1,就那个磁吸春联还可以
财财是只喵,2023.12.15,未知,0,那个垫菜板的纸什么材质，本身安全吗？[笑哭R][笑哭R]
塞拉嘿哟,2023.12.15,未知,0,真的很不环保[石化R]
不管三七二十一出布,2023.12.14,未知,2,太不环保了，全是垃圾
小红薯656FE09B,2023.12.14,未知,1,东西都还比较实用
随心所欲,2023.12.14,未知,0,[害羞R]
是小阿敏吖,2023.12.14,未知,0,一次性围裙可以
Jacky Yu,2023.12.13,未知,1,一次性围裙要买塑料的 不然会透
小欣欣甄选,2023.12.13,未知,0,不错?
??,2023.12.13,未知,2,@北小北
朝暮逢岁晚,2023.11.04,未知,14,一次性床单太麻烦了睡着还不舒服建议带睡袋[皱眉R]
基德电梯井,2024.01.21,上海,4,这点东西买齐200，我酒店能升一级
E-,2023.12.15,未知,2,宝，你买的是啥牌子的啊？好用吗？
珍珠?,2023.11.26,未知,2,@XLLLRay
化工学院陆同学爱Thinkpad,2024.02.06,浙江,0,还有！浴缸套[赞R]
巴迪高,2024.01.16,湖南,0,谢谢宝的喜欢呀[红色心形R]
芋泥啵啵酱,2023.12.05,未知,0,拿图
脆皮吴花肉,2023.07.29,未知,24,看到好多不同的观点，投票看看有哪位姐妹是跟我一样的[斜眼R]
Candy.,2023.07.28,未知,257,你以为纯棉内裤有多干净[笑哭R]真洁癖的人一次性内裤是不会用的，会自己带内裤去洗，然后在房间里晒，衣架要先用热水洗然后喷酒精在晒[捂脸R]
小刺威今天早睡了嘛,2023.08.01,未知,124,除了烧水壶，我啥都敢用，不见得有多脏，本人无洁癖，眼不见为净
爱吃爱吃,2023.07.26,未知,47,一次性的都带了，但是除了洗澡巾，其他都没用[笑哭R]
南方马铃薯,2023.07.26,未知,36,其实，，一次性用品也不见得干净
憨憨傻傻小屁孩,2023.08.14,未知,47,对，真的不敢用！！除了床、枕头和被子不动以外，其他的都要自己带上，如:一次性马桶垫
面面面面面面儿,2023.08.24,未知,8,跟我妈咪出去旅行，，，她还背着我们全家的口罩，大家以为我们去南极考察
卡夫卡的熊,2023.09.20,未知,0,姐妹都是从?买的吗？
阿染.,2023.09.14,未知,3,大意了，我买了一次性的四件套，马桶垫，洗澡巾，洗脸巾，就是没有买花洒[哭惹R][哭惹R][哭惹R]
十一月,2023.08.21,未知,2,我出一次门要换几个城市，七八家酒店怎么办
我好困,2024.02.07,江西,0,@1
lucky boy嘉,2024.01.31,广东,0,有链接吗？
苏沫然,2024.01.22,广西,1,[哭惹R]维也纳酒店的烧水壶我用了喝了[哭惹R]，会不会有事啊
momo,2023.12.27,未知,0,如果可以，我恨不得床都搬过去[笑哭R]
小八妈妈,2023.12.25,未知,0,@泽、
仰之,2023.12.22,未知,2,@橡果k 宝宝看看
我本将心向明月,2023.12.14,未知,0,@北辰
RiceX_,2023.11.06,未知,0,@小鱼o泡
今天你吃橘子了么O_o,2023.11.02,未知,1,直接套在酒店的被罩上吗
爱拍人像的脸脸酱,2023.10.30,未知,0,@walker
简爱,2023.10.06,未知,0,所以烧水壶怎么办[捂脸R] 自己带一个过去么
引路的风筝,2023.10.05,未知,1,带孩子必须得用那个可拆卸的花洒[哭惹R]
秋墨,2023.09.30,未知,0,水杯为啥不能用？玻璃杯那种，好奇原因
momo,2023.09.27,未知,0,@羊の
?,2023.09.26,未知,1,还有拖鞋 牙刷 牙膏
我要摘月?,2023.09.23,未知,0,@wink 我的天
橘子,2023.09.22,未知,3,酒店的东西为啥不敢用？我自己本身就不是什么干净的玩意[微笑R][微笑R]
無,2023.09.21,未知,0,@小红薯645015BB 我们到时候也要带
灿灿子,2023.09.20,未知,0,一次性床单有推荐嘛[捂脸R]
琳琳,2023.09.20,未知,0,@青衫 [捂脸R][捂脸R][捂脸R]
卜爱白,2023.09.20,未知,0,我出门住酒店有一套专门的长款睡衣，以及一系列的洗漱用品，带一个小衣架，建议姐妹们买超薄的那种内裤，洗完澡了顺手洗了吹风机一吹就可以接着穿了[偷笑R][偷笑R][偷笑R]
左邻右舍zlys566,2023.09.18,未知,1,我们都给客人提供的一次性用品浴巾什么的，除了被子
木子,2023.09.18,未知,0,我买的全棉的隔脏套，压缩烧水壶，自己的杯子，自己带洗漱用品，脏衣服全打包，带回家统一消毒清洗[偷笑R][偷笑R]
菠萝?,2023.09.18,未知,0,住全季，我是挺放心的[笑哭R]
momo,2023.09.18,未知,0,3组：4口人！加老人13人，我买自已的不大好，一起买感觉是个大工程，而且可能还会被说[笑哭R]咋整
小狗烦心事,2023.09.17,未知,0,@momo 啊要不要买啊
小红薯630820EC,2023.09.15,未知,0,@轩 [石化R]
ウエソ.,2023.09.14,未知,0,@对上衣过敏的男人
Zz,2023.09.14,未知,0,求链接[偷笑R][偷笑R][偷笑R]
Zz,2023.09.14,未知,0,有链接吗[偷笑R]
hi鑫同学,2023.09.14,未知,0,以后酒店测评要强调卫生这块了[doge]
爆米花会爆炸,2023.09.13,未知,0,礼貌问 一次性床单无纺布实用性强吗
清清清清,2023.09.13,未知,0,我觉得我带的最多的估计就是这些一次性东西，回去可能超轻
看凌晨的海,2023.09.12,未知,0,我之前出去一直都买一次性床单什么的后面看到别人说一次性的也不见得干净，现在我就专门买了床上四件套，每次出去都洗了带着其实也挺好的，自己带的那种床品还挺舒服的
南征枝,2023.09.11,未知,2,虽然我知道三件套一次性的不贵，但是我总觉得睡个床还是一次性的，感觉不安逸，我花好几百睡一晚自己还准备三件套[笑哭R]
时来运转转转,2023.09.07,未知,0,我除了酒店的热水壶不用，其他啥都用[笑哭R][笑哭R]
清蒸奥利奥?,2023.09.04,未知,0,我和我姐姐我们出去旅行，都是带被单，一次性浴巾，酒精湿巾，能不用的不用，实在要用就用自己的
五仁,2023.09.02,未知,0,@Dandy?
糸,2023.09.01,未知,0,洁癖还说的这么麻烦[笑哭R]  都这样外面哪哪不都要自己消毒了才能用
咩啊啊啊啊,2023.08.28,未知,1,我在pdd买的不是一次性的床单被套质量很好出去旅行用完就会洗一遍感觉不错哦
meme,2023.08.28,未知,0,我还行@乱打出来的名字
倩儿,2023.08.26,未知,0,我进去首酒精先喷一起，再带些一次性用品
male,2023.08.25,未知,0,我基本和你是一样的[笑哭R]
小太阳,2023.08.25,未知,0,同款浴巾和内裤，内裤洗了再带，穿一条扔一条
爱笑的眼睛,2023.08.24,未知,0,不戴一次性马桶垫我就没办法拉屎
幸运的人更幸运,2023.08.24,未知,0,一次性床单，被套、枕套、毛巾、内裤、马桶垫、酒精湿纸巾…[笑哭R]装床罩，铺床单那个累…
你听得到,2023.08.24,未知,0,一次性马桶垫我不带，我都站上去
cn350,2023.08.24,未知,0,不带一次性的，带旧的，感觉还能用就带回家后消毒下次再用，觉得不能用了在扔掉
怡吖,2023.08.24,未知,0,[笑哭R]我带毛巾和睡衣
?????,2023.08.24,未知,1,我把不爱穿的内裤都留着出门穿，穿一个扔一个，不要了的旧T恤当睡衣，穿了就扔掉不带回来[偷笑R]
小红薯60BAABBA,2023.08.23,未知,0,[石化R][石化R][石化R][石化R]我之前很懒，住酒店越多我带东西越多，因为我发现我皮肤过敏了，有一次，[石化R][石化R]得了皮炎，去医院中西药一起治，一个月才好完了。我现在连床上4件套，自热水杯，洗漱工具都自己带[石化R]，真的被搞出阴影了，据说又要看花洒和偷拍[失望R]，我服了
禾沐不是和睦,2023.08.23,未知,0,我近一年爱出门玩了，有很大洁癖[笑哭R] 去名创买一次性床单被套枕套的 自己带牙刷? 一次性毛巾浴巾的   帮我想想还有什么 我那天都在淘宝看那个顶门器了 一看直播有点怀疑管不管用啊是自我安慰吧[笑哭R] 不买了之前住酒店晚上我都是锁完门后又拿衣架杯子扣门把手上[笑哭R]
nini,2023.08.23,未知,0,我比较无所谓[笑哭R]也不会住几次酒店 不干不净用了没病 毛巾我会自己带 其他都是酒店的[笑哭R]
肉肉麻麻肉肉妈?,2023.08.23,未知,0,一次性的不透气，准备一套旅行专用的四件套，回家消毒洗干净。
?在路上的十一,2023.08.22,未知,0,我一出门个把月 只有自己多带两套长袖睡衣 马桶用开水烫  带个折叠烧水壶  酒精喷壶  折叠拖鞋
? 你是那个?,2023.08.22,未知,0,一样我也带了一次性的但是觉得一次性的也薄了也不干净[哭惹R][哭惹R][哭惹R][哭惹R][哭惹R]
蓝宝兒?,2023.08.22,未知,0,我买的一次性内裤，拿拿回来洗了一下，应该没事吧
我爱吃榴莲,2023.08.21,未知,2,太好了你们都不直接用那我可就用了
?代画（接搞中）,2023.08.20,未知,0,男朋友准备的
??,2023.08.20,未知,0,[失望R]我也是，出门一趟太难了
张张张张张呀-,2023.08.20,未知,1,买的一次性床单被罩枕头套，一次性浴巾，一次性马桶垫，卫生纸，n多酒精湿巾，自己的洗发水沐浴露牙刷牙膏肥皂，洗内裤专用液，自己的衣服架，一次性拖鞋，塑料袋，折叠烧水壶，水杯，就这些[笑哭R]
ccccc,2023.08.20,未知,0,@小红薯627035E5
二旬,2023.08.19,未知,0,@带我逃离这场雨
麻辣烫不加辣,2023.08.19,未知,0,住如家这类的(才开业一年两年那种)我基本都是用他的，经济类酒店就是自己带的多
欧阳冰凝,2023.08.18,未知,0,我用不了酒店的东西，包括枕头都是自己带，因为我择席[哭惹R]只有自己家的气味才能睡好[笑哭R]
临时传菜工,2023.08.18,未知,0,我除了这些还买了摩飞电水壶和一次性泡澡袋
请叫我小强强,2023.08.18,未知,1,我带了酒精湿巾，到了先用湿巾擦一遍，真的好坏酒店特别明显。
美丽姐姐,2023.08.17,未知,0,我穿一次性就是为了不洗 毛巾也用一次性的因为我觉得酒店就毛巾不干净
RichL-04,2023.08.17,未知,0,@24
怂爷是文盲,2023.08.16,未知,0,我只有毛巾 水壶 刷牙缸自己带 其他都是用酒店的了 一次性床单不舒服 之前自己背过床单 太累[笑哭R]
小红薯_3730,2023.08.16,未知,0,一次性四件套，马桶垫，浴巾，毛巾自己带，还学到一招保鲜膜封马桶盖
Hope???,2023.08.16,未知,0,得额外给地球制造多少垃圾[偷笑R]
onefans,2023.08.15,未知,0,不会哎，我什么都用，甚至无障碍卫生间马桶都是直接坐的[扯脸H]
我是西西妈,2023.08.15,未知,0,一次性四件套不好用，感觉只是隔了一层纱 ，所以我现在都带着床单?凉被，这样不用带被罩了[笑哭R]
momo,2023.08.15,未知,0,这个质量好吗有没有推荐
咕嘟,2023.08.15,未知,0,哈哈，我用一次性床单还自带床单，都感觉不老行
Yolo,2023.08.15,未知,0,@ss
少女与?,2023.08.15,未知,0,以前不觉得，毕竟住一晚就走了。但过年前夕打算去云南玩，我和我老公说到时候买一次性四件套，他说：哎呀，酒店的东西都干净的啊什么什么的。买什么四件套，我说：难道你不知道外面的东西都很脏吗？他说：能脏到哪里去？又不是裸着身子直接躺上面。真的没法沟通。
想听水星记.,2023.08.15,未知,0,明天出去玩 会去玩五天 我带了四件套 还有浴巾这些
珊姐姐,2023.08.15,未知,0,内衣内裤我都带家里快不要的，出去一个星期就带七八条，然后就不要了[捂脸R]，每次内衣内裤都是7.8件哪样买[捂脸R]
2024,2023.08.14,未知,0,这次旅行我带了四件套和一次性拖鞋，实在不敢用洒店的这些东西
???,2023.08.14,未知,2,一直觉得住酒店是找罪受，我真的有细菌妄想症。所以我一直不理解那些上班族周末开间房去酒店享受自己私人空间的行为，我真的住个酒店膈应得不行
开心点,2023.08.14,未知,0,真的还是需要注意一下酒店的卫生！！我之前住过一家酒店，腿膝盖和肘关节全部长密密麻麻的小颗粒！！！[哭惹R]
楊長樂日常,2023.08.14,未知,0,这个毛巾我也买了 搞活动 1块钱
一碗魏不饱,2023.08.14,未知,0,一次性四件套我觉得也是智商税，我买的隔脏睡袋[笑哭R]。
F.,2023.08.14,未知,5,啊 [doge]我不在意 死不了的
